date,location,new_cases,new_deaths,total_cases,total_deaths
2/10/20,Austria,0,0,0,0
2/11/20,Austria,0,0,0,0
2/12/20,Austria,0,0,0,0
2/13/20,Austria,0,0,0,0
2/14/20,Austria,0,0,0,0
2/15/20,Austria,0,0,0,0
2/16/20,Austria,0,0,0,0
2/17/20,Austria,0,0,0,0
2/18/20,Austria,0,0,0,0
2/19/20,Austria,0,0,0,0
2/20/20,Austria,0,0,0,0
2/21/20,Austria,0,0,0,0
2/22/20,Austria,0,0,0,0
2/23/20,Austria,0,0,0,0
2/24/20,Austria,0,0,0,0
2/25/20,Austria,0,0,0,0
2/26/20,Austria,2,0,2,0
2/27/20,Austria,0,0,2,0
2/28/20,Austria,3,0,5,0
2/29/20,Austria,2,0,7,0
3/1/20,Austria,3,0,10,0
3/2/20,Austria,4,0,14,0
3/3/20,Austria,4,0,18,0
3/4/20,Austria,6,0,24,0
3/5/20,Austria,5,0,29,0
3/6/20,Austria,12,0,41,0
3/7/20,Austria,33,0,74,0
3/8/20,Austria,25,0,99,0
3/9/20,Austria,3,0,102,0
3/10/20,Austria,29,0,131,0
3/11/20,Austria,51,0,182,0
3/12/20,Austria,64,0,246,0
3/13/20,Austria,115,1,361,1
3/14/20,Austria,143,0,504,1
3/15/20,Austria,151,0,655,1
3/16/20,Austria,205,0,860,1
3/17/20,Austria,156,2,1016,3
3/18/20,Austria,316,0,1332,3
3/19/20,Austria,314,1,1646,4
3/20/20,Austria,550,2,2196,6
3/21/20,Austria,453,0,2649,6
3/22/20,Austria,375,2,3024,8
3/23/20,Austria,607,8,3631,16
3/24/20,Austria,855,9,4486,25
3/25/20,Austria,796,5,5282,30
12/31/19,Azerbaijan,0,0,0,0
1/1/20,Azerbaijan,0,0,0,0
1/2/20,Azerbaijan,0,0,0,0
1/3/20,Azerbaijan,0,0,0,0
1/4/20,Azerbaijan,0,0,0,0
1/5/20,Azerbaijan,0,0,0,0
1/6/20,Azerbaijan,0,0,0,0
1/7/20,Azerbaijan,0,0,0,0
1/8/20,Azerbaijan,0,0,0,0
1/9/20,Azerbaijan,0,0,0,0
1/10/20,Azerbaijan,0,0,0,0
1/11/20,Azerbaijan,0,0,0,0
1/12/20,Azerbaijan,0,0,0,0
1/13/20,Azerbaijan,0,0,0,0
1/14/20,Azerbaijan,0,0,0,0
1/15/20,Azerbaijan,0,0,0,0
1/16/20,Azerbaijan,0,0,0,0
1/17/20,Azerbaijan,0,0,0,0
1/18/20,Azerbaijan,0,0,0,0
1/19/20,Azerbaijan,0,0,0,0
1/20/20,Azerbaijan,0,0,0,0
1/21/20,Azerbaijan,0,0,0,0
1/22/20,Azerbaijan,0,0,0,0
1/23/20,Azerbaijan,0,0,0,0
1/24/20,Azerbaijan,0,0,0,0
1/25/20,Azerbaijan,0,0,0,0
1/26/20,Azerbaijan,0,0,0,0
1/27/20,Azerbaijan,0,0,0,0
1/28/20,Azerbaijan,0,0,0,0
1/29/20,Azerbaijan,0,0,0,0
1/30/20,Azerbaijan,0,0,0,0
1/31/20,Azerbaijan,0,0,0,0
2/1/20,Azerbaijan,0,0,0,0
2/2/20,Azerbaijan,0,0,0,0
2/3/20,Azerbaijan,0,0,0,0
2/4/20,Azerbaijan,0,0,0,0
2/5/20,Azerbaijan,0,0,0,0
2/6/20,Azerbaijan,0,0,0,0
2/7/20,Azerbaijan,0,0,0,0
2/8/20,Azerbaijan,0,0,0,0
2/9/20,Azerbaijan,0,0,0,0
2/10/20,Azerbaijan,0,0,0,0
2/11/20,Azerbaijan,0,0,0,0
2/12/20,Azerbaijan,0,0,0,0
2/13/20,Azerbaijan,0,0,0,0
2/14/20,Azerbaijan,0,0,0,0
2/15/20,Azerbaijan,0,0,0,0
2/16/20,Azerbaijan,0,0,0,0
2/17/20,Azerbaijan,0,0,0,0
2/18/20,Azerbaijan,0,0,0,0
2/19/20,Azerbaijan,0,0,0,0
2/20/20,Azerbaijan,0,0,0,0
2/21/20,Azerbaijan,0,0,0,0
2/22/20,Azerbaijan,0,0,0,0
2/23/20,Azerbaijan,0,0,0,0
2/24/20,Azerbaijan,0,0,0,0
2/25/20,Azerbaijan,0,0,0,0
2/26/20,Azerbaijan,0,0,0,0
2/27/20,Azerbaijan,0,0,0,0
2/28/20,Azerbaijan,0,0,0,0
2/29/20,Azerbaijan,1,0,1,0
3/1/20,Azerbaijan,0,0,1,0
3/2/20,Azerbaijan,2,0,3,0
3/6/20,Azerbaijan,3,0,6,0
3/7/20,Azerbaijan,3,0,9,0
3/11/20,Azerbaijan,2,0,11,0
3/12/20,Azerbaijan,2,0,13,0
3/13/20,Azerbaijan,0,0,13,0
3/15/20,Azerbaijan,6,0,19,0
3/16/20,Azerbaijan,0,0,19,0
3/17/20,Azerbaijan,0,0,19,0
3/18/20,Azerbaijan,9,0,28,0
3/19/20,Azerbaijan,6,0,34,0
3/20/20,Azerbaijan,10,0,44,0
3/21/20,Azerbaijan,0,1,44,1
3/22/20,Azerbaijan,9,0,53,1
3/23/20,Azerbaijan,12,0,65,1
3/24/20,Azerbaijan,7,0,72,1
3/25/20,Azerbaijan,15,0,87,1
3/16/20,Bahamas,1,0,1,0
3/17/20,Bahamas,0,0,1,0
3/20/20,Bahamas,2,0,3,0
3/21/20,Bahamas,1,0,4,0
3/22/20,Bahamas,0,0,4,0
3/23/20,Bahamas,0,0,4,0
3/24/20,Bahamas,0,0,4,0
3/25/20,Bahamas,0,0,4,0
12/31/19,Bahrain,0,0,0,0
1/1/20,Bahrain,0,0,0,0
1/2/20,Bahrain,0,0,0,0
1/3/20,Bahrain,0,0,0,0
1/4/20,Bahrain,0,0,0,0
1/5/20,Bahrain,0,0,0,0
1/6/20,Bahrain,0,0,0,0
1/7/20,Bahrain,0,0,0,0
1/8/20,Bahrain,0,0,0,0
1/9/20,Bahrain,0,0,0,0
1/10/20,Bahrain,0,0,0,0
1/11/20,Bahrain,0,0,0,0
1/12/20,Bahrain,0,0,0,0
1/13/20,Bahrain,0,0,0,0
1/14/20,Bahrain,0,0,0,0
1/15/20,Bahrain,0,0,0,0
1/16/20,Bahrain,0,0,0,0
1/17/20,Bahrain,0,0,0,0
1/18/20,Bahrain,0,0,0,0
1/19/20,Bahrain,0,0,0,0
1/20/20,Bahrain,0,0,0,0
1/21/20,Bahrain,0,0,0,0
1/22/20,Bahrain,0,0,0,0
1/23/20,Bahrain,0,0,0,0
1/24/20,Bahrain,0,0,0,0
1/25/20,Bahrain,0,0,0,0
1/26/20,Bahrain,0,0,0,0
1/27/20,Bahrain,0,0,0,0
1/28/20,Bahrain,0,0,0,0
1/29/20,Bahrain,0,0,0,0
1/30/20,Bahrain,0,0,0,0
1/31/20,Bahrain,0,0,0,0
2/1/20,Bahrain,0,0,0,0
2/2/20,Bahrain,0,0,0,0
2/3/20,Bahrain,0,0,0,0
2/4/20,Bahrain,0,0,0,0
2/5/20,Bahrain,0,0,0,0
2/6/20,Bahrain,0,0,0,0
2/7/20,Bahrain,0,0,0,0
2/8/20,Bahrain,0,0,0,0
2/9/20,Bahrain,0,0,0,0
2/10/20,Bahrain,0,0,0,0
2/11/20,Bahrain,0,0,0,0
2/12/20,Bahrain,0,0,0,0
2/13/20,Bahrain,0,0,0,0
2/14/20,Bahrain,0,0,0,0
2/15/20,Bahrain,0,0,0,0
2/16/20,Bahrain,0,0,0,0
2/17/20,Bahrain,0,0,0,0
2/18/20,Bahrain,0,0,0,0
2/19/20,Bahrain,0,0,0,0
2/20/20,Bahrain,0,0,0,0
2/21/20,Bahrain,0,0,0,0
2/22/20,Bahrain,0,0,0,0
2/23/20,Bahrain,0,0,0,0
2/24/20,Bahrain,1,0,1,0
2/25/20,Bahrain,1,0,2,0
2/26/20,Bahrain,21,0,23,0
2/27/20,Bahrain,10,0,33,0
2/28/20,Bahrain,0,0,33,0
2/29/20,Bahrain,5,0,38,0
3/1/20,Bahrain,3,0,41,0
3/2/20,Bahrain,6,0,47,0
3/4/20,Bahrain,2,0,49,0
3/5/20,Bahrain,3,0,52,0
3/6/20,Bahrain,0,0,52,0
3/7/20,Bahrain,4,0,56,0
3/8/20,Bahrain,7,0,63,0
3/9/20,Bahrain,16,0,79,0
3/10/20,Bahrain,30,0,109,0
3/11/20,Bahrain,1,0,110,0
3/12/20,Bahrain,52,0,162,0
3/13/20,Bahrain,0,0,162,0
3/14/20,Bahrain,48,0,210,0
3/15/20,Bahrain,1,0,211,0
3/16/20,Bahrain,3,0,214,0
3/17/20,Bahrain,7,1,221,1
3/18/20,Bahrain,16,0,237,1
3/19/20,Bahrain,19,0,256,1
3/20/20,Bahrain,13,0,269,1
3/21/20,Bahrain,16,0,285,1
3/22/20,Bahrain,21,0,306,1
3/23/20,Bahrain,28,1,334,2
3/24/20,Bahrain,5,0,339,2
3/25/20,Bahrain,51,1,390,3
3/9/20,Bangladesh,3,0,3,0
3/15/20,Bangladesh,0,0,3,0
3/17/20,Bangladesh,2,0,5,0
3/18/20,Bangladesh,3,0,8,0
3/19/20,Bangladesh,2,0,10,0
3/20/20,Bangladesh,0,0,10,0
3/21/20,Bangladesh,7,0,17,0
3/22/20,Bangladesh,7,2,24,2
3/23/20,Bangladesh,3,1,27,3
3/24/20,Bangladesh,6,0,33,3
3/25/20,Bangladesh,6,1,39,4
3/18/20,Barbados,1,0,1,0
3/19/20,Barbados,0,0,1,0
3/20/20,Barbados,1,0,2,0
3/21/20,Barbados,4,0,6,0
3/22/20,Barbados,8,0,14,0
3/23/20,Barbados,3,0,17,0
3/24/20,Barbados,0,0,17,0
3/25/20,Barbados,1,0,18,0
12/31/19,Belarus,0,0,0,0
1/1/20,Belarus,0,0,0,0
1/2/20,Belarus,0,0,0,0
1/3/20,Belarus,0,0,0,0
1/4/20,Belarus,0,0,0,0
1/5/20,Belarus,0,0,0,0
1/6/20,Belarus,0,0,0,0
1/7/20,Belarus,0,0,0,0
1/8/20,Belarus,0,0,0,0
1/9/20,Belarus,0,0,0,0
1/10/20,Belarus,0,0,0,0
1/11/20,Belarus,0,0,0,0
1/12/20,Belarus,0,0,0,0
1/13/20,Belarus,0,0,0,0
1/14/20,Belarus,0,0,0,0
1/15/20,Belarus,0,0,0,0
1/16/20,Belarus,0,0,0,0
1/17/20,Belarus,0,0,0,0
1/18/20,Belarus,0,0,0,0
1/19/20,Belarus,0,0,0,0
1/20/20,Belarus,0,0,0,0
1/21/20,Belarus,0,0,0,0
1/22/20,Belarus,0,0,0,0
1/23/20,Belarus,0,0,0,0
1/24/20,Belarus,0,0,0,0
1/25/20,Belarus,0,0,0,0
1/26/20,Belarus,0,0,0,0
1/27/20,Belarus,0,0,0,0
1/28/20,Belarus,0,0,0,0
1/29/20,Belarus,0,0,0,0
1/30/20,Belarus,0,0,0,0
1/31/20,Belarus,0,0,0,0
2/1/20,Belarus,0,0,0,0
2/2/20,Belarus,0,0,0,0
2/3/20,Belarus,0,0,0,0
2/4/20,Belarus,0,0,0,0
2/5/20,Belarus,0,0,0,0
2/6/20,Belarus,0,0,0,0
2/7/20,Belarus,0,0,0,0
2/8/20,Belarus,0,0,0,0
2/9/20,Belarus,0,0,0,0
2/10/20,Belarus,0,0,0,0
2/11/20,Belarus,0,0,0,0
2/12/20,Belarus,0,0,0,0
2/13/20,Belarus,0,0,0,0
2/14/20,Belarus,0,0,0,0
2/15/20,Belarus,0,0,0,0
2/16/20,Belarus,0,0,0,0
2/17/20,Belarus,0,0,0,0
2/18/20,Belarus,0,0,0,0
2/19/20,Belarus,0,0,0,0
2/20/20,Belarus,0,0,0,0
2/21/20,Belarus,0,0,0,0
2/22/20,Belarus,0,0,0,0
2/23/20,Belarus,0,0,0,0
2/24/20,Belarus,0,0,0,0
2/25/20,Belarus,0,0,0,0
2/26/20,Belarus,0,0,0,0
2/27/20,Belarus,0,0,0,0
2/28/20,Belarus,1,0,1,0
2/29/20,Belarus,0,0,1,0
3/1/20,Belarus,0,0,1,0
3/2/20,Belarus,0,0,1,0
3/4/20,Belarus,3,0,4,0
3/5/20,Belarus,2,0,6,0
3/11/20,Belarus,3,0,9,0
3/12/20,Belarus,3,0,12,0
3/13/20,Belarus,9,0,21,0
3/16/20,Belarus,6,0,27,0
3/17/20,Belarus,9,0,36,0
3/18/20,Belarus,0,0,36,0
3/19/20,Belarus,10,0,46,0
3/20/20,Belarus,11,0,57,0
3/21/20,Belarus,0,0,57,0
3/22/20,Belarus,19,0,76,0
3/23/20,Belarus,0,0,76,0
3/24/20,Belarus,5,0,81,0
3/25/20,Belarus,0,0,81,0
12/31/19,Belgium,0,0,0,0
1/1/20,Belgium,0,0,0,0
1/2/20,Belgium,0,0,0,0
1/3/20,Belgium,0,0,0,0
